Country Code,2010,2011,2012
TUN,4211.3560860504995,4305.0127686976,4197.5058807644
TUR,10135.7488914734,10604.5524046531,10660.7286389599
TZA,524.6937952495,530.3948547099,608.8496737213
UGA,471.6772798961,440.801521299,551.3845330648
UKR,2973.9964807156,3575.4906460784005,3873.4513373119
URY,11530.637500401599,13960.959385761102,14727.725635544499
USA,48377.3938455507,49803.492855267694,51495.8748453219
UZB,1377.0821404694,1544.8277727352,1719.0361962416
VEN,13559.126799553402,10727.9820878008,12728.7263802945
VNM,1333.583526355,1543.0269503302,1755.2654235751002
VUT,2965.7522301167,3276.351449177,3161.4355384412
PSE,2338.719876823,2664.9513846395002,2782.9050264302
YEM,1394.5323557114002,1253.3058068272,1341.2817675117
ZAF,7175.624804072199,7830.505168424001,7313.9749156603
COD,346.7042747339,404.1105576753,446.0266545187
ZMB,1533.2843553651,1740.6667069463,1771.8911514679999
ZWE,723.1646485908,820.1543139779,908.7823241039999
